Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD)
"8092-1","Star Wars","Episode IV",2010,"Luke's Landspeeder",6,163,25.99,24.99,34.99,,5702014601307,673419129084,28.2,26.2,4.6,,"",1,1,0,,,,,,,,,33.4100,18.8300,
"10221-1","Star Wars","Ultimate Collector Series",2011,"Super Star Destroyer ",5,3152,349.99,399.99,499.99,,,673419145701,58.5,49,19,,"",1,1,0,,,,,,,,,935.3200,738.5500,
"10266-1","Creator Expert","Space",2019,"NASA Apollo 11 Lunar Lander",2,1087,84.99,99.99,139.99,89.99,5702016368277,,,,,,"",1,1,0,,,,,,,,,92.8900,89.0400,
"10281-1","Creator Expert","Botanical Collection",2021,"Bonsai Tree",,878,44.99,49.99,69.99,49.99,5702016914177,,26.2,38.2,7.1,,"",1,1,0,,,,,,,,,58.5500,69.9900,
"10283-1","Creator Expert","Space",2021,"NASA Space Shuttle Discovery",,2354,169.99,199.99,269.99,179.99,5702016914061,,,,,,"",1,1,0,,,,,,,,,210.0700,174.9900,
"21309-1","Ideas","NASA",2017,"NASA Apollo Saturn V",,1969,109.99,119.99,149.99,119.99,5702016000078,,37.8,48,11.2,,"",1,1,0,,,,,,,,,146.8600,107.0200,
"21312-1","Ideas","NASA",2017,"Women of NASA",4,231,19.99,24.99,29.99,24.99,5702016108453,,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,39.7100,27.7100,
"21320-1","Ideas","",2019,"Dinosaur Fossils",2,910,54.99,59.99,79.99,59.99,5702016615586,673419317306,28.2,26.2,9.6,1,"",1,1,0,,,,,,,,,67.7300,57.1000,
"21321-1","Ideas","NASA",2020,"International Space Station",,864,64.99,69.99,99.99,69.99,5702016719062,673419325790,38.2,26.2,7.1,0.61,"",1,1,0,,,,,,,,,76.1600,65.2800,
"31091-1","Creator","3 in 1",2019,"Shuttle Transporter",,341,24.99,24.99,34.99,24.36,5702016367867,673419302128,35.4,19.1,5.9,0.51,"",1,1,0,,,,,,,,,25.3200,20.3800,
"40174-1","Miscellaneous","Games",2017,"LEGO Chess",,1450,45.99,54.99,69.99,54.99,5702015868419,,54,28.2,9.1,,"",1,1,0,,,,,,,,,,,
"40268-1","Star Wars","Rogue One",2017,"R3-M2",1,21,,,,,,,14,14,0.9,,"",1,1,0,,,,,,,,,7.5500,5.0000,
"40391-1","Brick Sketches","Star Wars",2020,"First Order Stormtrooper",,151,14.99,16.99,19.99,19.99,5702016656787,,14.1,19.1,7.1,,"",1,1,0,,,,,,,,,22.0500,,
"40431-1","Brick Sketches","Star Wars",2020,"BB-8",,171,14.99,16.99,19.99,16.99,5702016762426,,14.1,19.1,7.1,,"",1,1,0,,,,,,,,,23.6200,,
"40440-1","BrickHeadz","Pets",2021,"German Shepherd",,247,13.49,14.99,19.99,14.99,5702016910353,,15.6,14,7,0.244,"",1,1,0,,,,,,,,,21.0500,17.0300,
"41602-1","BrickHeadz","Star Wars",2018,"Rey",,119,9.99,9.99,12.99,9.99,5702016074772,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,11.5800,10.3100,
"41608-1","BrickHeadz","Star Wars",2018,"Han Solo",,141,9.99,9.99,12.99,9.99,5702016110975,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,13.0900,10.8400,
"41609-1","BrickHeadz","Star Wars",2018,"Chewbacca",,149,9.99,9.99,12.99,9.99,,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,22.0700,12.0700,
"41628-1","BrickHeadz","Star Wars",2018,"Princess Leia Organa",,124,9.99,9.99,12.99,9.99,5702016176490,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,16.5300,18.2700,
"75030-1","Star Wars","Microfighters",2014,"Millennium Falcon Microfighter",1,94,8.99,9.99,12.99,9.99,5702015121019,673419209212,14.097,12.192,4.5974,0.1,"",1,1,0,,,,,,,,,27.8300,10.6400,
"75049-1","Star Wars","Episode V",2014,"Snowspeeder",3,278,34.99,29.99,39.99,39.99,5702015122405,673419210126,22.1996,26.1874,6.1976,0.44,"",1,1,0,,,,,,,,,64.8800,32.4900,
"75074-1","Star Wars","Microfighters",2015,"Snowspeeder Microfighter",1,97,8.99,9.99,12.99,9.99,5702015349109,673419230278,14.097,12.192,4.5974,0.09525432,"",1,1,0,,,,,,,,,15.4000,7.8200,
"75075-1","Star Wars","Microfighters",2015,"AT-AT Microfighter",1,88,8.99,9.99,12.99,9.99,5702015349116,673419230285,14.097,12.192,4.5974,0.0908,"",1,1,0,,,,,,,,,15.6400,8.0200,
"75093-1","Star Wars","Episode VI",2015,"Death Star Final Duel",5,724,69.99,79.99,99.99,89.99,5702015352161,673419231329,48.006,28.194,7.3914,1.238306,"",1,1,0,,,,,,,,,100.2800,71.7500,
"75099-1","Star Wars","The Force Awakens",2015,"Rey's Speeder",2,193,19.99,19.99,24.99,26.99,5702015352611,673419231572,26.2128,14.097,4.8006,0.2313319,"",1,1,0,,,,,,,,,24.2800,14.4500,
"75136-1","Star Wars","Episode IV",2016,"Droid Escape Pod",4,197,19.99,24.99,29.99,29.99,5702015591775,673419247511,26.2128,19.1008,4.5974,0.3084426,"",1,1,0,,,,,,,,,32.2100,19.1100,
"75137-1","Star Wars","Episode V",2016,"Carbon-Freezing Chamber",4,231,19.99,24.99,29.99,29.99,5702015591829,673419247764,26.2128,19.1008,6.096,0.3810173,"",1,1,0,,,,,,,,,38.8200,26.6000,
"75138-1","Star Wars","Episode V",2016,"Hoth Attack",4,233,19.99,24.99,29.99,29.99,,673419247795,26.2128,19.1008,6.096,0.3810173,"",1,1,0,,,,,,,,,38.0500,26.6800,
"75162-1","Star Wars","Microfighters",2017,"Y-wing Microfighter",1,90,8.99,9.99,12.99,9.99,,673419265218,14.097,12.192,4.5974,0.08618248,"",1,1,0,,,,,,,,,13.8400,7.2100,
"75176-1","Star Wars","The Last Jedi",2017,"Resistance Transport Pod",3,294,39.99,29.99,39.99,39.99,5702015868495,673419266918,35.4076,19.1008,5.8928,0.4309124,"",1,1,0,,,,,,,,,30.0900,23.0700,
"75187-1","Star Wars","The Last Jedi",2017,"BB-8",1,1106,84.99,99.99,129.99,99.99,5702015869881,673419267601,35.4076,37.7952,9.398,1.342632,"",1,1,0,,,,,,,,,123.4600,81.6200,
"75229-1","Star Wars","Episode IV",2019,"Death Star Escape",4,329,24.99,29.99,39.99,29.99,5702016370386,673419303811,26.2,19.1,7.2,0.44,"",1,1,0,,,,,,,,,35.4500,34.1300,
"75243-1","Star Wars","Episode V",2019,"Slave I - 20th Anniversary Edition",6,1007,109.99,119.99,159.99,116.97,5702016370706,,,,,,"",1,1,0,,,,,,,,,166.9500,130.6000,
"75244-1","Star Wars","Episode IV",2019,"Tantive IV",6,1768,179.99,199.99,269.99,194.95,5702016371109,,58.2,37.8,10.3,,"",1,1,0,,,,,,,,,229.3300,205.5600,
"75248-1","Star Wars","The Rise of Skywalker",2019,"Resistance A-wing Starfighter",2,269,24.99,29.99,39.99,29.23,5702016370737,,26.2,19.1,7.2,,"",1,1,0,,,,,,,,,31.0100,28.9500,
"75254-1","Star Wars","The Mandalorian",2019,"AT-ST Raider",4,540,49.99,49.99,69.99,59.99,5702016370768,,,,,,"",1,1,0,,,,,,,,,59.7200,45.2300,
"75255-1","Star Wars","Episode III",2019,"Yoda",1,1771,89.99,99.99,139.99,99.99,5702016370775,,,,,,"",1,1,0,,,,,,,,,88.9600,59.0900,
"75263-1","Star Wars","Microfighters",2020,"Resistance Y-wing Microfighter",1,86,8.99,9.99,13.99,9.74,5702016617092,673419317207,14.1,12.2,4.6,0.09,"",1,1,0,,,,,,,,,9.9900,7.7900,
"75264-1","Star Wars","Microfighters",2020,"Kylo Ren's Shuttle Microfighter",1,72,8.99,9.99,13.99,9.74,5702016617108,673419317214,14.1,12.2,4.6,0.09,"",1,1,0,,,,,,,,,10.4200,7.7200,
"75266-1","Star Wars","The Rise of Skywalker",2020,"Sith Troopers Battle Pack",4,105,12.99,14.99,19.99,14.99,5702016617122,673419317238,19.1,14.1,4.6,0.12,"",1,1,0,,,,,,,,,14.2200,9.2600,
"75267-1","Star Wars","The Mandalorian",2020,"Mandalorian Battle Pack",4,102,12.99,14.99,19.99,14.99,5702016617139,673419317245,19.1,14.1,4.6,0.12,"",1,1,0,,,,,,,,,15.4300,12.6200,
"75269-1","Star Wars","Episode III",2020,"Duel on Mustafar ",2,208,19.99,19.99,24.99,24.99,5702016617153,673419318365,26.2,14.1,6.1,0.28,"",1,1,0,,,,,,,,,21.7400,17.0900,
"75273-1","Star Wars","The Rise of Skywalker",2020,"Poe Dameron's X-wing Fighter",4,761,89.99,89.99,119.99,99.99,5702016617191,673419318402,48,28.2,6.1,1,"",1,1,0,,,,,,,,,83.4200,61.9900,
"75277-1","Star Wars","Helmet Collection",2020,"Boba Fett Helmet",,625,54.99,59.99,79.99,59.99,5702016617221,673419318433,19.1,35.4,11.8,0.87,"",1,1,0,,,,,,,,,57.7900,42.4300,
"75278-1","Star Wars","The Rise of Skywalker",2020,"D-O",1,519,64.99,69.99,99.99,69.99,5702016617238,673419318440,26.2,38.2,7.1,0.76,"",1,1,0,,,,,,,,,59.0000,31.9600,
"75283-1","Star Wars","The Clone Wars",2020,"Armored Assault Tank (AAT)",4,286,34.99,39.99,49.99,39.99,5702016617276,673419318488,0,0,0,0,"",1,1,0,,,,,,,,,39.8500,35.0000,
"75292-1","Star Wars","The Mandalorian",2020,"The Razor Crest",5,1023,119.99,129.99,159.99,129.99,5702016683325,,48,37.8,7.1,,"",1,1,0,,,,,,,,,186.1900,155.5800,
"75297-1","Star Wars","The Force Awakens",2021,"Resistance X-wing Starfighter",2,60,17.99,19.99,24.99,19.99,5702016912661,,,,,,"",1,1,0,,,,,,,,,18.5000,11.9500,
"75302-1","Star Wars","Episode VI",2021,"Imperial Shuttle",3,660,69.99,69.99,99.99,79.99,5702016914474,,,,,,"",1,1,0,,,,,,,,,74.9700,,
"75306-1","Star Wars","Episode V",2021,"Imperial Probe Droid",,683,59.99,59.99,79.99,69.99,5702016914184,,,,,,"",1,1,0,,,,,,,,,63.6800,,
"75308-1","Star Wars","Miscellaneous",2021,"R2-D2",1,2314,179.99,199.99,,199.99,5702016914191,,,,,,"",1,1,0,,,,,,,,,242.5100,,
"75317-1","BrickHeadz","Star Wars",2020,"The Mandalorian & The Child",,295,17.99,19.99,24.99,19.99,5702016899856,,19.1,14.1,7.1,,"",1,1,0,,,,,,,,,21.7800,13.0000,
"75318-1","Star Wars","The Mandalorian",2020,"The Child",1,1073,69.99,79.99,99.99,79.99,5702016928570,,26.2,38.2,11.8,,"",1,1,0,,,,,,,,,81.2100,71.9900,







